Consultant ID,Lv8,Lv7,Lv6,Lv5,Lv4,Scotland,London,North England
1,0,0,0,0,1,0,1,0
2,0,0,0,0,1,1,0,0
3,0,0,0,0,1,0,1,0
4,0,1,0,0,0,0,0,1
5,0,0,0,0,1,1,0,0
6,0,1,0,0,0,0,1,0
7,0,0,0,1,0,0,1,0
8,0,0,0,0,1,0,1,0
9,0,1,0,0,0,0,1,0
10,0,0,1,0,0,1,0,0
11,0,0,0,1,0,0,1,0
12,0,0,0,0,1,0,1,0
13,0,0,0,1,0,0,1,0
14,0,0,0,0,1,0,1,0
15,0,0,1,0,0,1,0,0
16,0,0,1,0,0,0,1,0
17,0,0,0,1,0,0,1,0
18,0,0,0,1,0,1,0,0
19,0,1,0,0,0,0,1,0
20,0,0,0,1,0,0,0,1
21,0,0,1,0,0,0,0,1
22,0,0,1,0,0,0,1,0
23,0,0,1,0,0,0,0,1
24,0,0,0,1,0,0,0,1
25,1,0,0,0,0,0,1,0
26,0,0,0,1,0,0,0,1
27,0,0,1,0,0,0,0,1
28,0,1,0,0,0,1,0,0
29,0,0,0,1,0,0,1,0
30,0,1,0,0,0,1,0,0
31,0,0,0,0,1,1,0,0
32,0,0,1,0,0,0,1,0
33,0,0,1,0,0,0,1,0
34,0,0,0,0,1,0,0,1
35,0,1,0,0,0,0,0,1
36,0,0,1,0,0,0,0,1
37,0,0,0,1,0,0,0,1
38,0,0,1,0,0,0,0,1
39,0,1,0,0,0,0,1,0
40,0,1,0,0,0,1,0,0
41,0,0,1,0,0,0,0,1
42,0,0,1,0,0,1,0,0
43,0,1,0,0,0,0,0,1
44,0,0,1,0,0,1,0,0
45,0,1,0,0,0,0,0,1
46,0,0,0,1,0,0,1,0
47,0,0,0,1,0,0,0,1
48,0,1,0,0,0,0,1,0
49,0,0,1,0,0,0,1,0
50,0,0,1,0,0,1,0,0
51,0,0,0,1,0,0,1,0
52,0,0,1,0,0,0,1,0
53,0,0,1,0,0,1,0,0
54,0,0,1,0,0,0,1,0
55,0,0,0,1,0,0,1,0
56,0,0,0,1,0,0,1,0
57,0,0,1,0,0,1,0,0
58,0,0,1,0,0,0,1,0
59,0,0,1,0,0,0,0,1
60,0,0,1,0,0,0,0,1
61,0,0,0,1,0,0,1,0
62,0,0,1,0,0,0,1,0
63,0,1,0,0,0,0,1,0
64,0,1,0,0,0,1,0,0
65,0,0,1,0,0,0,1,0
66,0,0,0,0,1,0,0,1
67,0,0,1,0,0,0,1,0
68,0,0,1,0,0,1,0,0
69,1,0,0,0,0,0,0,1
70,0,0,1,0,0,0,0,1
71,0,0,1,0,0,0,0,1
72,0,0,1,0,0,0,1,0
73,0,0,1,0,0,0,0,1
74,0,0,1,0,0,0,0,1
75,0,1,0,0,0,0,1,0
76,0,0,0,1,0,0,1,0
77,0,1,0,0,0,0,0,1
78,0,0,1,0,0,0,0,1
79,0,0,1,0,0,0,0,1
80,1,0,0,0,0,0,1,0
81,1,0,0,0,0,0,0,1
82,0,0,1,0,0,0,0,1
83,0,0,0,0,1,0,0,1
84,0,0,0,0,1,0,1,0
85,0,1,0,0,0,0,1,0
86,0,0,1,0,0,0,0,1
87,0,1,0,0,0,0,1,0
88,0,0,0,1,0,0,0,1
89,0,0,1,0,0,0,1,0
90,0,0,1,0,0,0,0,1
91,0,0,1,0,0,1,0,0
92,0,0,1,0,0,0,1,0
93,0,0,0,0,1,1,0,0
94,0,0,1,0,0,0,1,0
95,0,0,0,1,0,0,1,0
96,0,0,1,0,0,0,0,1
97,0,0,0,0,1,1,0,0
98,0,0,1,0,0,0,0,1
99,0,0,0,1,0,0,1,0
100,0,1,0,0,0,0,0,1
101,0,1,0,0,0,0,1,0
102,0,0,1,0,0,1,0,0
103,0,1,0,0,0,0,1,0
104,0,1,0,0,0,0,0,1
105,0,0,0,1,0,0,0,1
106,0,1,0,0,0,0,0,1
107,1,0,0,0,0,0,1,0
108,0,0,1,0,0,0,0,1
109,0,1,0,0,0,0,1,0
110,0,1,0,0,0,1,0,0
111,0,0,0,1,0,0,0,1
112,0,1,0,0,0,0,0,1
113,0,1,0,0,0,0,0,1
114,0,1,0,0,0,0,1,0
115,0,0,1,0,0,0,0,1
116,0,0,1,0,0,0,0,1
117,0,0,0,1,0,1,0,0
118,0,0,0,1,0,0,0,1
119,0,0,0,1,0,1,0,0
120,0,0,1,0,0,0,1,0
121,0,0,0,1,0,0,0,1
122,0,0,1,0,0,0,0,1
123,0,0,0,1,0,0,0,1
124,0,1,0,0,0,0,0,1
125,0,1,0,0,0,0,0,1
126,0,1,0,0,0,1,0,0
127,0,1,0,0,0,0,0,1
128,0,1,0,0,0,0,1,0
129,0,0,0,1,0,0,1,0
130,0,0,1,0,0,0,1,0
131,0,0,1,0,0,0,1,0
132,0,0,1,0,0,0,1,0
133,0,0,1,0,0,0,0,1
134,0,0,1,0,0,0,1,0
135,0,0,1,0,0,0,0,1
136,0,0,0,1,0,0,0,1
137,0,0,0,0,1,0,0,1
138,0,0,1,0,0,0,1,0
139,0,1,0,0,0,0,1,0
140,0,1,0,0,0,0,0,1
141,0,1,0,0,0,0,1,0
142,0,0,0,0,1,1,0,0
143,0,1,0,0,0,0,1,0
144,0,0,1,0,0,0,1,0
145,0,1,0,0,0,1,0,0
146,1,0,0,0,0,0,1,0
147,0,0,1,0,0,0,1,0
148,0,0,0,1,0,0,1,0
149,1,0,0,0,0,0,0,1
150,0,0,1,0,0,0,1,0
151,0,0,0,1,0,1,0,0
152,0,0,1,0,0,0,1,0
153,0,1,0,0,0,0,0,1
154,0,0,1,0,0,0,0,1
155,0,0,1,0,0,0,0,1
156,0,1,0,0,0,1,0,0
157,0,0,1,0,0,1,0,0
158,0,0,1,0,0,0,1,0
159,0,0,1,0,0,1,0,0
160,0,1,0,0,0,0,0,1
161,0,0,0,0,1,0,0,1
162,0,0,1,0,0,1,0,0
163,0,0,1,0,0,0,1,0
164,0,0,0,1,0,0,0,1
165,0,0,1,0,0,0,0,1
166,0,0,1,0,0,1,0,0
167,0,0,0,1,0,0,1,0
168,0,1,0,0,0,1,0,0
169,0,1,0,0,0,0,1,0
170,0,0,0,1,0,0,1,0
171,0,0,1,0,0,0,0,1
172,0,0,1,0,0,1,0,0
173,0,0,1,0,0,0,1,0
174,0,0,1,0,0,0,0,1
175,0,1,0,0,0,0,1,0
176,0,0,0,1,0,0,1,0
177,0,0,1,0,0,0,0,1
178,0,1,0,0,0,0,0,1
179,0,1,0,0,0,1,0,0
180,0,1,0,0,0,0,1,0
181,0,0,0,1,0,0,0,1
182,0,1,0,0,0,1,0,0
183,0,1,0,0,0,0,1,0
184,0,0,0,1,0,0,1,0
185,0,0,1,0,0,0,0,1
186,0,0,0,1,0,0,1,0
187,0,0,1,0,0,0,0,1
188,0,1,0,0,0,0,1,0
189,0,1,0,0,0,1,0,0
190,0,0,1,0,0,0,0,1
191,0,0,0,0,1,0,0,1
192,1,0,0,0,0,0,1,0
193,0,0,1,0,0,0,0,1
194,0,0,1,0,0,0,1,0
195,0,0,0,1,0,1,0,0
196,0,0,1,0,0,1,0,0
197,0,1,0,0,0,0,1,0
198,0,1,0,0,0,1,0,0
199,0,0,0,1,0,0,1,0
200,0,0,1,0,0,0,1,0
201,0,0,1,0,0,0,0,1
202,0,0,1,0,0,1,0,0
203,0,0,0,0,1,1,0,0
204,0,1,0,0,0,0,0,1
205,0,0,0,0,1,0,1,0
206,0,0,1,0,0,0,1,0
207,0,0,1,0,0,0,1,0
208,0,0,1,0,0,0,1,0
209,0,0,1,0,0,0,0,1
210,0,0,0,0,1,0,1,0
211,0,0,0,1,0,0,0,1
212,0,1,0,0,0,0,1,0
213,0,0,0,0,1,1,0,0
214,0,0,1,0,0,1,0,0
215,0,0,0,0,1,0,1,0
216,0,0,0,1,0,0,0,1
217,0,0,1,0,0,0,1,0
218,0,0,1,0,0,0,1,0
219,0,1,0,0,0,0,1,0
220,0,0,1,0,0,0,1,0
221,0,0,0,1,0,1,0,0
222,0,1,0,0,0,0,0,1
223,0,0,1,0,0,0,1,0
224,0,1,0,0,0,0,1,0
225,0,0,1,0,0,0,1,0
226,0,0,0,0,1,0,0,1
227,0,1,0,0,0,0,1,0
228,1,0,0,0,0,0,0,1
229,0,0,1,0,0,1,0,0
230,0,0,1,0,0,0,0,1
231,0,0,0,1,0,0,0,1
232,0,0,0,1,0,0,1,0
233,0,1,0,0,0,0,0,1
234,0,0,1,0,0,1,0,0
235,0,0,0,1,0,0,1,0
236,0,0,1,0,0,0,0,1
237,0,0,1,0,0,0,1,0
238,0,0,0,1,0,0,0,1
239,0,1,0,0,0,0,0,1
240,0,1,0,0,0,0,1,0
241,0,0,0,1,0,1,0,0
