Project number,Lv8,Lv7,Lv6,Lv5,Lv4,ss8,ss7,ss6,ss5,ss4
1,0,0,6,0,0,0,0,6,0,0
2,0,0,7,2,0,0,0,7,2,0
3,0,4,6,0,0,0,4,6,0,0
4,0,8,6,2,0,0,8,6,2,0
5,0,1,4,0,0,0,1,4,0,0
6,1,2,17,5,0,2,2,15,5,1
7,0,6,6,2,0,0,6,6,2,0
8,0,2,8,1,0,1,2,6,1,1
9,0,3,21,2,0,1,3,19,2,1
10,0,0,2,0,0,0,0,2,0,0
11,0,0,5,1,0,0,0,5,1,0
12,0,2,8,7,0,1,2,6,7,1
13,0,5,10,7,0,1,5,8,7,1
14,0,0,6,1,0,0,0,6,1,0
15,0,0,5,1,0,0,0,5,1,0
16,0,2,4,1,0,0,2,4,1,0
17,0,1,20,3,0,1,1,18,3,1
18,0,1,5,0,0,0,1,5,0,0
19,0,3,14,3,0,1,3,12,3,1
20,0,1,5,0,0,0,1,5,0,0
21,0,1,9,1,0,1,1,7,1,1
22,0,3,4,4,0,0,3,4,4,0
23,0,2,4,6,0,0,2,4,6,0
24,0,0,5,1,0,0,0,5,1,0
25,0,3,6,2,0,0,3,6,2,0
26,2,2,19,2,1,3,2,17,2,2
27,0,3,2,1,0,0,3,2,1,0
28,0,2,4,0,0,0,2,4,0,0
29,0,6,15,6,0,1,6,13,6,1
30,0,1,3,2,1,0,1,3,2,1
31,0,0,4,2,0,0,0,4,2,0
32,0,0,12,0,0,1,0,10,0,1
33,0,4,25,1,0,1,4,23,1,1
34,0,3,4,4,0,0,3,4,4,0
35,0,1,1,0,0,0,1,1,0,0
36,0,4,2,0,0,0,4,2,0,0
37,0,2,1,2,0,0,2,1,2,0
38,0,2,7,2,0,0,2,7,2,0
39,0,5,9,2,0,1,5,7,2,1
40,0,1,21,0,0,1,1,19,0,1
41,0,0,4,1,0,0,0,4,1,0
42,0,1,4,0,0,0,1,4,0,0
43,0,1,17,0,0,1,1,15,0,1
44,0,0,1,0,0,0,0,1,0,0
45,0,1,19,1,0,1,1,17,1,1
46,0,0,1,0,0,0,0,1,0,0
47,0,1,3,2,0,0,1,3,2,0
48,0,0,2,0,0,0,0,2,0,0
49,0,1,16,0,0,1,1,14,0,1
50,0,2,3,3,0,0,2,3,3,0
51,0,1,3,2,0,0,1,3,2,0
52,0,0,3,0,0,0,0,3,0,0
