Project number,8,8+7,8+7+6,8+7+6+5,8+7+6+5+4,8,8+7,8+7+6,8+7+6+5,8+7+6+5+4
1,0,0,6,6,6,0,0,6,6,6
2,0,0,7,9,9,0,0,7,9,9
3,0,4,10,10,10,0,4,10,10,10
4,0,8,14,16,16,0,8,14,16,16
5,0,1,5,5,5,0,1,5,5,5
6,1,3,20,25,25,2,4,19,24,25
7,0,6,12,14,14,0,6,12,14,14
8,0,2,10,11,11,1,3,9,10,11
9,0,3,24,26,26,1,4,23,25,26
10,0,0,2,2,2,0,0,2,2,2
11,0,0,5,6,6,0,0,5,6,6
12,0,2,10,17,17,1,3,9,16,17
13,0,5,15,22,22,1,6,14,21,22
14,0,0,6,7,7,0,0,6,7,7
15,0,0,5,6,6,0,0,5,6,6
16,0,2,6,7,7,0,2,6,7,7
17,0,1,21,24,24,1,2,20,23,24
18,0,1,6,6,6,0,1,6,6,6
19,0,3,17,20,20,1,4,16,19,20
20,0,1,6,6,6,0,1,6,6,6
21,0,1,10,11,11,1,2,9,10,11
22,0,3,7,11,11,0,3,7,11,11
23,0,2,6,12,12,0,2,6,12,12
24,0,0,5,6,6,0,0,5,6,6
25,0,3,9,11,11,0,3,9,11,11
26,2,4,23,25,26,3,5,22,24,26
27,0,3,5,6,6,0,3,5,6,6
28,0,2,6,6,6,0,2,6,6,6
29,0,6,21,27,27,1,7,20,26,27
30,0,1,4,6,7,0,1,4,6,7
31,0,0,4,6,6,0,0,4,6,6
32,0,0,12,12,12,1,1,11,11,12
33,0,4,29,30,30,1,5,28,29,30
34,0,3,7,11,11,0,3,7,11,11
35,0,1,2,2,2,0,1,2,2,2
36,0,4,6,6,6,0,4,6,6,6
37,0,2,3,5,5,0,2,3,5,5
38,0,2,9,11,11,0,2,9,11,11
39,0,5,14,16,16,1,6,13,15,16
40,0,1,22,22,22,1,2,21,21,22
41,0,0,4,5,5,0,0,4,5,5
42,0,1,5,5,5,0,1,5,5,5
43,0,1,18,18,18,1,2,17,17,18
44,0,0,1,1,1,0,0,1,1,1
45,0,1,20,21,21,1,2,19,20,21
46,0,0,1,1,1,0,0,1,1,1
47,0,1,4,6,6,0,1,4,6,6
48,0,0,2,2,2,0,0,2,2,2
49,0,1,17,17,17,1,2,16,16,17
50,0,2,5,8,8,0,2,5,8,8
51,0,1,4,6,6,0,1,4,6,6
52,0,0,3,3,3,0,0,3,3,3
