x,Lv8,Lv7,Lv6,Lv5,Lv4
0,0,0,6,0,0
0,0,0,7,2,0
0,0,4,6,0,0
0,0,8,6,2,0
0,0,1,4,0,0
1,1,2,17,5,0
1,0,6,6,2,0
1,0,2,8,1,0
1,0,3,21,2,0
1,0,0,2,0,0
1,0,0,5,1,0
1,0,2,8,7,0
1,0,5,10,7,0
1,0,0,6,1,0
1,0,0,5,1,0
1,0,2,4,1,0
1,0,1,20,3,0
1,0,1,5,0,0
1,0,3,14,3,0
1,0,1,5,0,0
1,0,1,9,1,0
1,0,3,4,4,0
1,0,2,4,6,0
1,0,0,5,1,0
1,0,3,6,2,0
1,2,2,19,2,1
1,0,3,2,1,0
1,0,2,4,0,0
1,0,6,15,6,0
1,0,1,3,2,1
1,0,0,4,2,0
1,0,0,12,0,0
1,0,4,25,1,0
1,0,3,4,4,0
1,0,1,1,0,0
1,0,4,2,0,0
1,0,2,1,2,0
1,0,2,7,2,0
1,0,5,9,2,0
1,0,1,21,0,0
1,0,0,4,1,0
1,0,1,4,0,0
1,0,1,17,0,0
1,0,0,1,0,0
1,0,1,19,1,0
1,0,0,1,0,0
1,0,1,3,2,0
1,0,0,2,0,0
1,0,1,16,0,0
1,0,2,3,3,0
1,0,1,3,2,0
1,0,0,3,0,0
