Project,LV8,LV7,LV6,LV5,LV4,SCOTLAND,LONDON,NORTH ENGLAND,IRELAND
10,0,0,2,0,0,1,0,0,0
18,0,1,5,0,0,1,0,0,0
30,0,1,3,2,1,1,0,0,0
35,0,1,1,0,0,1,0,0,0
42,0,1,4,0,0,1,0,0,0
46,0,0,1,0,0,1,0,0,0
11,0,0,5,1,0,0,1,0,0
14,0,0,6,1,0,0,1,0,0
20,0,1,5,0,0,0,1,0,0
22,0,3,4,4,0,0,1,0,0
31,0,0,4,2,0,0,1,0,0
38,0,2,7,2,0,0,1,0,0
47,0,1,3,2,0,0,1,0,0
51,0,1,3,2,0,0,1,0,0
6,0,3,17,5,0,0,0,1,0
17,0,1,0,23,0,0,0,1,0
26,0,4,19,2,1,0,0,1,0
29,0,6,15,3,3,0,0,1,0
32,0,0,0,0,12,0,0,1,0
33,0,1,28,0,1,0,0,1,0
40,0,1,0,21,0,0,0,1,0
9,0,3,21,0,0,0,0,0,1
13,0,5,7,10,0,0,0,0,1
19,0,0,0,0,20,0,0,0,1
