S-l8,S-l7,S-l6,S-l5,S-l4,L-l8,L-l7,L-l6,L-l5,L-l4,NE-l8,NE-l7,NE-l6,NE-l5,NE-l4
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
0,0,3,1,1,0,1,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
0,0,0,0,0,0,3,4,4,0,0,0,0,0,0
0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
0,0,0,0,0,0,2,7,2,0,0,0,0,0,0
0,0,0,0,0,0,1,3,2,0,0,0,0,0,0
0,0,0,0,0,0,1,3,2,0,0,0,0,0,0
0,0,0,0,0,0,3,17,5,0,0,0,0,0,0
0,0,0,5,0,0,0,0,5,0,0,1,0,13,0
0,0,1,0,0,0,0,0,0,0,0,4,18,2,1
0,0,0,0,0,0,0,0,0,0,0,6,15,3,3
0,0,0,0,5,0,0,0,0,0,0,0,0,0,7
0,0,5,0,0,0,0,0,0,0,0,1,23,0,1
0,0,0,6,0,0,0,0,3,0,0,1,0,12,0
0,0,3,0,0,0,0,0,0,0,0,3,18,0,0
0,0,1,0,0,0,0,6,10,0,0,5,0,0,0
0,0,0,0,5,0,0,0,0,15,0,0,0,0,0
